date,regime
2024-03-14,NORMAL
2024-03-15,NORMAL
2024-03-17,NORMAL
2024-03-18,NORMAL
2024-03-19,NORMAL
2024-03-20,NORMAL
2024-03-21,NORMAL
2024-03-22,NORMAL
2024-03-24,NORMAL
2024-03-25,NORMAL
2024-03-26,NORMAL
2024-03-27,NORMAL
2024-03-28,NORMAL
2024-03-29,NORMAL
2024-03-31,NORMAL
2024-04-01,NORMAL
2024-04-02,NORMAL
2024-04-03,NORMAL
2024-04-04,NORMAL
2024-04-05,NORMAL
2024-04-07,NORMAL
2024-04-08,NORMAL
2024-04-09,NORMAL
2024-04-10,NORMAL
2024-04-11,NORMAL
2024-04-12,NORMAL
2024-04-14,NORMAL
2024-04-15,NORMAL
2024-04-16,NORMAL
2024-04-17,NORMAL
2024-04-18,NORMAL
2024-04-19,NORMAL
2024-04-21,NORMAL
2024-04-22,NORMAL
2024-04-23,NORMAL
2024-04-24,NORMAL
2024-04-25,NORMAL
2024-04-26,NORMAL
2024-04-28,NORMAL
2024-04-29,NORMAL
2024-04-30,NORMAL
2024-05-01,NORMAL
2024-05-02,NORMAL
2024-05-03,NORMAL
2024-05-05,NORMAL
2024-05-06,NORMAL
2024-05-07,NORMAL
2024-05-08,NORMAL
2024-05-09,NORMAL
2024-05-10,NORMAL
2024-05-12,NORMAL
2024-05-13,NORMAL
2024-05-14,NORMAL
2024-05-15,NORMAL
2024-05-16,NORMAL
2024-05-17,NORMAL
2024-05-19,NORMAL
2024-05-20,NORMAL
2024-05-21,NORMAL
2024-05-22,ELEVATED
2024-05-23,ELEVATED
2024-05-24,ELEVATED
2024-05-26,ELEVATED
2024-05-27,ELEVATED
2024-05-28,ELEVATED
2024-05-29,ELEVATED
2024-05-30,ELEVATED
2024-05-31,ELEVATED
2024-06-02,ELEVATED
2024-06-03,NORMAL
2024-06-04,NORMAL
2024-06-05,NORMAL
2024-06-06,NORMAL
2024-06-07,NORMAL
2024-06-09,NORMAL
2024-06-10,NORMAL
2024-06-11,NORMAL
2024-06-12,NORMAL
2024-06-13,NORMAL
2024-06-14,NORMAL
2024-06-16,NORMAL
2024-06-17,NORMAL
2024-06-18,NORMAL
2024-06-19,NORMAL
2024-06-20,NORMAL
2024-06-21,NORMAL
2024-06-23,NORMAL
2024-06-24,NORMAL
2024-06-25,NORMAL
2024-06-26,NORMAL
2024-06-27,ELEVATED
2024-06-28,ELEVATED
2024-06-30,ELEVATED
2024-07-01,ELEVATED
2024-07-02,ELEVATED
2024-07-03,ELEVATED
2024-07-04,NORMAL
2024-07-05,NORMAL
2024-07-07,NORMAL
2024-07-08,NORMAL
2024-07-09,ELEVATED
2024-07-10,ELEVATED
2024-07-11,ELEVATED
2024-07-12,ELEVATED
2024-07-14,ELEVATED
2024-07-15,NORMAL
2024-07-16,NORMAL
2024-07-17,NORMAL
2024-07-18,ELEVATED
2024-07-19,ELEVATED
2024-07-21,ELEVATED
2024-07-22,ELEVATED
2024-07-23,ELEVATED
2024-07-24,ELEVATED
2024-07-25,ELEVATED
2024-07-26,ELEVATED
2024-07-28,ELEVATED
2024-07-29,ELEVATED
2024-07-30,ELEVATED
2024-07-31,STRESS
2024-08-01,STRESS
2024-08-02,STRESS
2024-08-04,STRESS
2024-08-05,STRESS
2024-08-06,ELEVATED
2024-08-07,ELEVATED
2024-08-08,ELEVATED
2024-08-09,ELEVATED
2024-08-11,ELEVATED
2024-08-12,ELEVATED
2024-08-13,ELEVATED
2024-08-14,NORMAL
2024-08-15,NORMAL
2024-08-16,NORMAL
2024-08-18,NORMAL
2024-08-19,NORMAL
2024-08-20,NORMAL
2024-08-21,NORMAL
2024-08-22,NORMAL
2024-08-23,NORMAL
2024-08-25,NORMAL
2024-08-26,NORMAL
2024-08-27,NORMAL
2024-08-28,NORMAL
2024-08-29,NORMAL
2024-08-30,NORMAL
2024-09-01,NORMAL
2024-09-02,NORMAL
2024-09-03,NORMAL
2024-09-04,NORMAL
2024-09-05,NORMAL
2024-09-06,NORMAL
2024-09-08,NORMAL
2024-09-09,NORMAL
2024-09-10,NORMAL
2024-09-11,NORMAL
2024-09-12,NORMAL
2024-09-13,NORMAL
2024-09-15,NORMAL
2024-09-16,NORMAL
2024-09-17,NORMAL
2024-09-18,NORMAL
2024-09-19,NORMAL
2024-09-20,NORMAL
2024-09-22,NORMAL
2024-09-23,NORMAL
2024-09-24,NORMAL
2024-09-25,NORMAL
2024-09-26,NORMAL
2024-09-27,NORMAL
2024-09-29,NORMAL
2024-09-30,NORMAL
2024-10-01,NORMAL
2024-10-02,NORMAL
2024-10-03,NORMAL
2024-10-04,NORMAL
2024-10-06,NORMAL
2024-10-07,NORMAL
2024-10-08,NORMAL
2024-10-09,NORMAL
2024-10-10,ELEVATED
2024-10-11,ELEVATED
2024-10-13,ELEVATED
2024-10-14,ELEVATED
2024-10-15,ELEVATED
2024-10-16,ELEVATED
2024-10-17,ELEVATED
2024-10-18,ELEVATED
2024-10-20,ELEVATED
2024-10-21,ELEVATED
2024-10-22,ELEVATED
2024-10-23,ELEVATED
2024-10-24,ELEVATED
2024-10-25,ELEVATED
2024-10-27,ELEVATED
2024-10-28,ELEVATED
2024-10-29,NORMAL
2024-10-30,NORMAL
2024-10-31,NORMAL
2024-11-01,NORMAL
2024-11-03,NORMAL
2024-11-04,NORMAL
2024-11-05,NORMAL
2024-11-06,NORMAL
2024-11-07,ELEVATED
2024-11-08,ELEVATED
2024-11-10,ELEVATED
2024-11-11,ELEVATED
2024-11-12,ELEVATED
2024-11-13,ELEVATED
2024-11-14,ELEVATED
2024-11-15,ELEVATED
2024-11-17,ELEVATED
2024-11-18,ELEVATED
2024-11-19,ELEVATED
2024-11-20,ELEVATED
2024-11-21,ELEVATED
2024-11-22,ELEVATED
2024-11-24,ELEVATED
2024-11-25,ELEVATED
2024-11-26,ELEVATED
2024-11-27,ELEVATED
2024-11-28,ELEVATED
2024-11-29,ELEVATED
2024-12-01,ELEVATED
2024-12-02,ELEVATED
2024-12-03,ELEVATED
2024-12-04,ELEVATED
2024-12-05,ELEVATED
2024-12-06,ELEVATED
2024-12-08,ELEVATED
2024-12-09,ELEVATED
2024-12-10,ELEVATED
2024-12-11,ELEVATED
2024-12-12,ELEVATED
2024-12-13,ELEVATED
2024-12-15,ELEVATED
2024-12-16,ELEVATED
2024-12-17,ELEVATED
2024-12-18,ELEVATED
2024-12-19,ELEVATED
2024-12-20,ELEVATED
2024-12-22,ELEVATED
2024-12-23,ELEVATED
2024-12-24,ELEVATED
2024-12-25,ELEVATED
2024-12-26,ELEVATED
2024-12-27,ELEVATED
2024-12-29,ELEVATED
2024-12-30,ELEVATED
2024-12-31,ELEVATED
